category,product,company,website
aims,medaxion,medaxion,http://medaxion.com
regional,us needles,havels,http://havels.com
airway,glidescope go,verathon,http://glidescopego.com
airway,manual jet ventilators,instrumentation industries,http://iiimedical.com
regional,us needles,pajunk,http://pajunk-usa.com
